test_id,algorithm,original_category,identified_category_by_AI,identified_category_score,identified_algorithm_by_AI,identified_algorithm_score,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count,exact_match,category_match
test_001,Substitution cipher,classical,modern symmetric,0.0,AES-ECB,0.0,True,0.11,0.1,0.0,1.0,0.95,3,3,False,False
test_002,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.9,3,3,False,True
test_003,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.65,0.5,0.0,1.0,0.95,3,1,True,True
test_004,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.093,0.1,0.0,0.833,0.95,2,2,False,True
test_005,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.633,0.4,0.0,0.929,0.95,3,2,True,True
test_006,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.592,0.0,0.0,0.917,0.95,3,2,True,True
test_007,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.59,0.0,0.0,0.9,1.0,3,1,True,True
test_008,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.102,0.1,0.0,0.917,0.95,2,1,False,True
test_009,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.62,0.2,0.0,1.0,1.0,1,0,True,True
test_010,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.085,0.1,0.0,0.75,0.95,2,1,False,True
test_011,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.64,0.467,0.0,0.938,0.9,4,4,True,True
test_012,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.599,0.2,0.0,0.786,1.0,2,0,True,True
test_013,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.594,0.0,0.0,0.938,1.0,4,3,True,True
test_014,Ed25519,asymmetric,asymmetric,1.0,ECDSA (P-256),0.0,True,0.102,0.1,0.0,0.917,0.95,3,3,False,True
test_015,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.606,0.2,0.0,0.857,0.95,2,0,True,True
test_016,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,1.0,3,2,True,True
test_017,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.646,0.2,0.111,0.929,0.95,0,0,True,True
test_018,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.62,0.2,0.0,1.0,1.0,3,0,True,True
test_019,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.594,0.0,0.0,0.944,0.95,4,3,True,True
test_020,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.673,0.3,0.143,1.0,0.92,3,3,True,True
test_021,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.102,0.1,0.0,0.917,0.95,3,1,False,True
test_022,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.2,0.0,0.9,0.95,2,0,True,True
test_023,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.659,0.4,0.083,0.938,0.9,3,2,True,True
test_024,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.583,0.0,0.0,0.833,0.95,3,3,True,True
test_025,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.1,0.1,0.0,0.9,0.95,5,3,False,True
test_026,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.612,0.2,0.0,0.917,0.95,2,0,True,True
test_027,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.657,0.567,0.0,1.0,0.92,5,3,True,True
test_028,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,3,1,False,True
test_029,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.62,0.2,0.0,1.0,0.95,3,0,True,True
test_030,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.102,0.1,0.0,0.917,0.95,2,1,False,True
test_031,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.763,0.133,0.5,1.0,0.95,3,3,True,True
test_032,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.69,0.9,0.0,1.0,0.9,4,4,True,True
test_033,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.092,0.0,0.0,0.917,0.95,3,0,False,True
test_034,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.606,0.133,0.0,0.929,1.0,3,3,True,True
test_035,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.603,0.2,0.0,0.833,0.95,3,0,True,True
test_036,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.102,0.1,0.0,0.917,0.95,2,2,False,True
