test_id,algorithm,original_category,identified_category_by_AI,identified_category_score,identified_algorithm_by_AI,identified_algorithm_score,response_success,overall_score,vulnerability_score,decryption_score,decryption_applicable,decryption_kind,decryption_acknowledged_infeasible,decryption_plaintext_similarity,decryption_plaintext_exact_match,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count,exact_match,category_match
test_001,Substitution cipher,classical,classical,1.0,Substitution cipher,1.0,True,0.62,0.2,0.1,True,plaintext_similarity,False,0.1,False,0.7,0.95,3,4,True,True
test_002,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.75,3,3,False,True
test_003,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.68,0.9,0.0,False,not_applicable,False,0.0,False,0.9,1.0,4,3,True,True
test_004,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.093,0.1,0.0,False,not_applicable,False,0.0,False,0.833,0.95,4,3,False,True
test_005,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.9,3,2,True,True
test_006,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.673,0.9,0.0,True,none,False,0.0,False,0.833,0.98,4,2,True,True
test_007,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,2,True,True
test_008,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.077,0.1,0.0,False,not_applicable,False,0.0,False,0.667,0.95,4,3,False,True
test_009,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.613,0.133,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_010,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.085,0.1,0.0,False,not_applicable,False,0.0,False,0.75,0.95,4,2,False,True
test_011,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.85,3,3,False,True
test_012,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.64,0.4,0.0,False,not_applicable,False,0.0,False,1.0,0.95,4,2,True,True
test_013,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.575,0.0,0.0,False,not_applicable,True,0.0,False,0.75,0.98,4,3,True,True
test_014,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.4,0.0,False,not_applicable,True,0.0,False,0.9,0.95,3,2,True,True
test_015,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.57,0.0,0.0,False,not_applicable,False,0.0,False,0.7,0.95,4,2,True,True
test_016,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_017,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,3,2,False,True
