test_id,algorithm,original_category,identified_category_by_AI,identified_category_score,identified_algorithm_by_AI,identified_algorithm_score,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count,exact_match,category_match
test_001,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.45,4,3,False,True
test_002,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.603,0.133,0.0,0.9,0.6,3,3,True,True
test_003,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.3,0.0,0.9,0.75,3,3,True,True
test_004,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.75,4,3,False,True
test_005,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.68,0.9,0.0,0.9,0.8,3,3,True,True
test_006,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,1.0,0.95,4,3,True,True
test_007,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_008,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.093,0.1,0.0,0.833,0.7,3,2,False,True
test_009,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.613,0.133,0.0,1.0,0.18,4,3,True,True
test_010,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.65,3,3,False,True
test_011,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.613,0.133,0.0,1.0,0.7,4,3,True,True
test_012,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.67,0.8,0.0,0.9,0.95,4,4,True,True
test_013,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.6,0.0,0.0,1.0,0.95,3,3,True,True
test_014,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.62,0.3,0.0,0.9,0.95,3,3,True,True
test_015,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.64,0.4,0.0,1.0,0.75,3,2,True,True
test_016,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.592,0.0,0.0,0.917,0.92,4,3,True,True
test_017,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,1.0,0.7,4,4,True,True
test_018,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,0.9,0.95,4,4,True,True
test_019,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.782,1.9,0.0,0.917,0.75,4,3,True,True
test_020,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.61,0.2,0.0,0.9,0.8,4,4,True,True
test_021,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.9,4,3,False,True
test_022,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.3,0.0,0.8,0.7,3,3,True,True
test_023,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.69,0.9,0.0,1.0,0.7,4,3,True,True
test_024,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.79,1.9,0.0,1.0,0.7,4,3,True,True
test_025,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.093,0.1,0.0,0.833,0.65,3,3,False,True
test_026,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.61,0.2,0.0,0.9,0.95,4,4,True,True
test_027,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.6,4,3,False,True
test_028,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.9,4,3,False,True
test_029,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_030,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.7,4,3,False,True
test_031,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.6,3,3,False,True
test_032,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.7,4,4,False,True
